county_name,county_key,fire_period,acreage,gdp_before,gdp_after,gdp_delta_pct,control_avg_delta,counterfactual_gap
Sonoma,sonoma,2021Q3,50.0,40050.525,44415.6775,10.89911430624192,17.463608802442508,-6.564494496200588
Lake,lake,2021Q3,127.0,5588.3075,6268.1224999999995,12.164953342313385,18.343314707771015,-6.178361365457629
Lake,lake,2021Q3,83.0,5588.3075,6268.1224999999995,12.164953342313385,18.343314707771015,-6.178361365457629
Mendocino,mendocino,2021Q3,257.0,7496.672500000001,8355.28,11.453181394812164,21.425923100278776,-9.972741705466612
Sonoma,sonoma,2021Q3,116.0,40050.525,44415.6775,10.89911430624192,17.463608802442508,-6.564494496200588
Napa,napa,2021Q4,132.0,11574.135,12591.647500000001,8.791261722798298,15.820315035312413,-7.029053312514115
Solano,solano,2022Q2,135.0,40014.6925,42695.405,6.699320505836703,16.445892154469952,-9.74657164863325
Napa,napa,2022Q2,570.0,12131.252500000002,12834.0,5.792868461026572,15.820315035312413,-10.027446574285841
Kern,kern,2022Q2,75.0,80306.285,86772.58,8.052041007749267,16.111380990854265,-8.059339983104998
Riverside,riverside,2022Q2,84.0,215180.3625,233994.19249999998,8.743283904450152,17.900025634319785,-9.156741729869633
San Bernardino,san bernardino,2022Q2,95.0,193320.64,208002.235,7.594427061693966,17.900025634319785,-10.305598572625819
Tehama,tehama,2022Q2,50.0,5805.984999999999,6198.4475,6.759619599430613,19.540966778234985,-12.78134717880437
Contra Costa,contra costa,2022Q2,159.0,103106.28,110191.745,6.872001395065361,19.056650418819792,-12.184649023754432
Butte,butte,2022Q2,54.0,18508.1275,19617.27,5.992732111878967,16.738878066666143,-10.746145954787176
Tehama,tehama,2022Q2,177.0,5805.984999999999,6198.4475,6.759619599430613,19.540966778234985,-12.78134717880437
Kern,kern,2022Q2,517.0,80306.285,86772.58,8.052041007749267,16.111380990854265,-8.059339983104998
Yuba,yuba,2022Q2,72.0,7277.452499999999,7936.637500000001,9.057908656909836,14.278729371451846,-5.220820714542009
San Bernardino,san bernardino,2022Q2,865.0,193320.64,208002.235,7.594427061693966,17.900025634319785,-10.305598572625819
San Diego,san diego,2022Q2,80.0,291410.3525,310943.05500000005,6.70281694951111,18.701010562380876,-11.998193612869766
Los Angeles,los angeles,2022Q2,63.0,880043.2374999999,927250.97,5.364251492245578,17.37535249350058,-12.011101001255
